Word,Tags
operations,NNS
.,.
Infrastructure,NN
",",","
hospitality,NN
and,CC
new,JJ
tourism,NN
products,NNS
The,DT
proposed,VBN
changes,NNS
also,RB
call,VBP
for,IN
a,DT
unified,JJ
digital,JJ
portal,JJ
integrating,VBG
tourism-related,JJ
permits,NNS
within,IN
18,CD
months,NNS
",",","
improved,VBN
standards,NNS
for,IN
tourist,NN
infrastructure,NN
and,CC
updated,JJ
regulations,NNS
for,IN
tourist,NN
transport,NN
services,NNS
.,.
In,IN
the,DT
hospitality,NN
sector,NN
",",","
lawmakers,NNS
have,VBP
proposed,VBN
stricter,JJ
hotel,NN
classification,NN
standards,NNS
",",","
transparent,NN
pricing,NN
requirements,NNS
",",","
measures,NNS
against,IN
false,JJ
star,NN
ratings,NNS
and,CC
longer,JJR
licence,NN
validity,NN
periods,NNS
.,.
New,NNP
tourism,NN
products,NNS
suggested,VBN
for,IN
inclusion,NN
in,IN
the,DT
law,NN
include,VBP
digital,JJ
nomad,JJ
visas,NN
",",","
astro-tourism,NN
",",","
dark-sky,JJ
tourism,NN
",",","
glamping,NN
",",","
birth,JJ
tourism,NN
",",","
heritage,NN
tourism,NN
",",","
peace,NN
tourism,NN
and,CC
community-based,JJ
cultural,JJ
experiences,NNS
.,.
House,NNP
committee,NN
to,TO
review,VB
amendments,NNS
The,DT
263,CD
amendments,NNS
",",","
many,JJ
of,IN
which,WDT
overlap,VBP
or,CC
contradict,VBP
one,CD
another,DT
",",","
will,MD
now,RB
be,VB
reviewed,VBN
by,IN
the,DT
parliamentary,JJ
tourism,NN
committee,NN
before,IN
the,DT
bill,NN
returns,VBZ
to,TO
the,DT
House,NNP
for,IN
further,JJ
deliberation,NN
.,.
Until,IN
Parliament,NNP
completes,VBZ
the,DT
amendment,NN
process,NN
",",","
the,DT
version,NN
of,IN
the,DT
Tourism,NNP
Bill,NNP
passed,VBN
by,IN
the,DT
National,NNP
Assembly,NNP
remains,VBZ
unchanged,JJ
and,CC
none,NN
of,IN
the,DT
proposed,VBN
provisions,NNS
have,VBP
legal,JJ
effect,NN
.,.
